Rank,Player,Age,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo
198,Blaz Rola,29.1,1539.9,1473.6,1502.2,1444,1506.7,1521.1,1491.9
199,Rayane Roumane,19.2,1539.5,1471,0,0,1505.2,1379.7,1469.7
200,Roberto Marcora,30.2,1539.5,1500.8,1458.3,1256.2,1520.1,1498.9,1397.8
201,Sergiy Stakhovsky,33.8,1537.7,1425.7,1463.5,1556.1,1481.7,1500.6,1546.9
202,Constant Lestienne,27.5,1536.8,1400,1494.2,1305,1468.4,1515.5,1420.9
203,Malek Jaziri,35.8,1536,1486.6,1536.7,1330,1511.3,1536.3,1433
204,Enzo Couacaud,24.6,1535.6,1474.9,1407.4,1451.5,1505.2,1471.5,1493.6
205,Kimmer Coppejans,25.7,1534.8,1397,1514.7,1192.7,1465.9,1524.7,1363.7
206,Sebastian Ofner,23.5,1534.6,1528.2,1367.5,1365.7,1531.4,1451,1450.1
207,Daniel Altmaier,21.2,1533.6,1386.3,1510.9,1483.5,1459.9,1522.3,1508.6
208,Daniel Elahi Galan Riveros,23.4,1532,1292.6,1546.9,1379,1412.3,1539.4,1455.5
209,Tobias Kamke,33.4,1532,1484.1,1420.5,1457.2,1508,1476.2,1494.6
210,Stefano Napolitano,24.6,1531.7,1469.6,1477.5,1442.3,1500.7,1504.6,1487
211,Andrea Collarini,27.8,1531.2,1170.3,1505.9,1375.8,1350.8,1518.6,1453.5
212,Ruben Bemelmans,31.8,1528.8,1412.5,1405.2,1584.5,1470.6,1467,1556.6
213,Alex Bolt,26.8,1528.7,1464.3,1285.2,1511.1,1496.5,1406.9,1519.9
214,Yosuke Watanuki,21.6,1526,1480.4,1219.7,1389.6,1503.2,1372.8,1457.8
215,Maxime Janvier,23,1524.7,1469.5,1364.1,1342.4,1497.1,1444.4,1433.5
216,Thai Son Kwiatkowski,24.6,1517.7,1474.6,1387.1,1257,1496.2,1452.4,1387.3
217,Evgeny Karlovskiy,25.3,1517.4,1467.4,1185.6,1375.1,1492.4,1351.5,1446.3
218,Emilio Gomez,28,1516.2,1460.9,1455.5,1234.7,1488.5,1485.9,1375.5
219,Oscar Otte,26.3,1514.6,1419.8,1516,1405.5,1467.2,1515.3,1460.1
220,Liam Broady,25.8,1514.3,1479.2,1295.5,1217.3,1496.8,1404.9,1365.8
221,Daniel Masur,25.4,1512.5,1398.8,1432.5,1373.4,1455.7,1472.5,1443
222,Daniel Brands,32,1512,1452.5,1387.6,1498.7,1482.2,1449.8,1505.3
223,Zsombor Piros,19.8,1510.9,1248.9,1490.3,0,1379.9,1500.6,1455.5
224,Donald Young,30.3,1509.9,1457.6,1419.9,1452.2,1483.8,1464.9,1481
225,Darian King,27.5,1508.7,1460.9,1259.9,1366.1,1484.8,1384.3,1437.4
226,Mohamed Safwat,29.2,1507.9,1386.1,1498.3,1365.7,1447,1503.1,1436.8
227,Arthur De Greef,27.3,1506.9,1362.9,1469.8,1290.9,1434.9,1488.3,1398.9
228,Lorenzo Musetti,17.7,1503.3,1355.4,1388.6,0,1429.3,1445.9,1451.7
229,Maxime Cressy,22.5,1503,1459.9,1257.8,1355,1481.5,1380.4,1429
230,Nicola Kuhn,19.6,1502.8,1452.2,1373.5,0,1477.5,1438.2,1451.4
231,Elliot Benchetrit,21.1,1501.7,1413.7,1420.6,0,1457.7,1461.2,1450.8
232,Luca Vanni,34.4,1501.3,1442.9,1350,1370.9,1472.1,1425.6,1436.1
233,Tristan Lamasine,26.6,1500.7,1429.5,1429.3,1528.2,1465.1,1465,1514.4
234,Ramkumar Ramanathan,25,1500.1,1410.2,1379.3,1552.3,1455.1,1439.7,1526.2
235,Filip Horansky,26.8,1499.1,1307,1513.8,1248.8,1403.1,1506.5,1373.9
236,Sebastian Korda,19.4,1497.8,1436.3,1282,0,1467,1389.9,1448.9
237,Rudolf Molleker,19,1497.7,1260.4,1496.4,1404.3,1379.1,1497.1,1451
238,Alexey Vatutin,27,1496.6,1411.3,1495.2,1307.9,1454,1495.9,1402.2
239,Christopher Eubanks,23.5,1494.8,1425.8,1298.5,1399.3,1460.3,1396.6,1447
240,Alexandre Muller,22.8,1494.4,1451,1347.8,0,1472.7,1421.1,1447.2
241,Nikola Milojevic,24.4,1493.4,1401.1,1491.6,1292,1447.3,1492.5,1392.7
242,Francisco Cerundolo,21.2,1492.8,1313.3,1470.7,0,1403,1481.8,1446.4
243,Juan Pablo Ficovich,22.8,1484.5,1310.8,1464.7,0,1397.7,1474.6,1442.2
244,Andrew Harris,25.6,1482.5,1437.3,1304.6,1421.2,1459.9,1393.6,1451.8
245,Gastao Elias,28.8,1482.3,1338.3,1466.4,1260,1410.3,1474.4,1371.1
246,Peter Polansky,31.4,1481,1434.2,1344.5,1339.3,1457.6,1412.7,1410.2
247,Jay Clarke,21.3,1479.6,1446.5,1377.2,1279.4,1463,1428.4,1379.5
248,Mikael Torpegaard,25.5,1478.9,1431.2,1404.6,1466.2,1455,1441.7,1472.5
249,Adrian Menendez Maceiras,34,1475.8,1386.3,1486.4,1325.7,1431.1,1481.1,1400.7
250,Cem Ilkel,24.2,1475.6,1407.3,1098.1,1306.8,1441.4,1286.9,1391.2
251,Akira Santillan,22.4,1475.4,1443.3,1225.8,1335.4,1459.4,1350.6,1405.4
252,Julian Lenz,26.7,1474,1396.6,1394.1,1350.4,1435.3,1434.1,1412.2
253,Carlos Berlocq,36.6,1473.3,1537.4,1447.2,1278.2,1505.4,1460.3,1375.8
254,Thomaz Bellucci,31.8,1472.1,1507.1,1435,1343.6,1489.6,1453.6,1407.9
255,Guilherme Clezar,26.9,1470.9,1190.4,1478.8,1203.4,1330.6,1474.8,1337.1
256,Lorenzo Giustino,28.1,1470.3,1333,1467.7,1292.1,1401.6,1469,1381.2
257,Max Purcell,21.6,1469.6,1416.9,1303.9,1331,1443.2,1386.8,1400.3
258,Jeremy Jahn,29.5,1469.6,1203.5,1483.3,0,1336.6,1476.4,1434.8
259,Roberto Quiroz,27.7,1466.9,1365.6,1403.9,1409.4,1416.3,1435.4,1438.1
260,Joao Domingues,26.1,1466.1,1315.4,1429.8,1347.8,1390.8,1448,1407
261,Zhe Li,33.1,1463.9,1404.1,1163.8,1303.7,1434,1313.8,1383.8
262,Konstantin Kravchuk,34.7,1462.5,1417.6,1186.7,1431.3,1440,1324.6,1446.9
263,Facundo Mena,27.1,1459.8,1285.8,1448.8,0,1372.8,1454.3,1429.9
264,John Patrick Smith,29.9,1459,1390.1,1160.4,1465.3,1424.6,1309.7,1462.2
265,Joao Lucas Magalhaes Hueb De Menezes,22.9,1457.2,1495.5,1349.9,0,1476.3,1403.5,1428.6
266,Tim Van Rijthoven,22.5,1456,1419.4,1209.9,0,1437.7,1332.9,1428
267,Teymuraz Gabashvili,34.5,1455.2,1420.8,1444.3,1388.7,1438,1449.7,1421.9
268,Duck Hee Lee,21.5,1453.6,1414.4,1187.3,1237.5,1434,1320.4,1345.5
269,Enrique Lopez Perez,28.4,1452.9,1402.2,1403.2,1319.8,1427.5,1428.1,1386.4
270,Tung Lin Wu,21.5,1452.9,1393.6,1417.4,0,1423.2,1435.1,1426.4
271,Ji Sung Nam,26.2,1452.6,1408.1,1191,0,1430.4,1321.8,1426.3
272,Benjamin Hassan,24.8,1452.4,1255.8,1494.2,0,1354.1,1473.3,1426.2
273,Facundo Arguello,27.1,1452.4,1259.6,1431.8,1295.5,1356,1442.1,1374
274,Gonzalo Escobar,30.8,1451.3,1451.7,1283.9,0,1451.5,1367.6,1425.6
275,Jurij Rodionov,20.5,1451.2,1451.8,1306.4,1245.4,1451.5,1378.8,1348.3
276,Pedja Krstin,25.2,1449,1308,1456.9,1295.4,1378.5,1452.9,1372.2
277,Hiroki Moriya,29.1,1447.1,1398.2,1129,1351.5,1422.7,1288.1,1399.3
278,Thiemo De Bakker,30.9,1446.5,1424.5,1459.5,1385,1435.5,1453,1415.8
279,Jan Choinski,23.4,1446.5,1409.3,1387,1208.3,1427.9,1416.8,1327.4
280,Altug Celikbilek,23.2,1446,1384.6,1172.6,1457.5,1415.3,1309.3,1451.8
